rho,t_sweep,t_scaled,A_COM_MSD_mean,A_COM_MSD_sem,B_COM_MSD_mean,B_COM_MSD_sem,Full_COM_MSD_mean,Full_COM_MSD_sem
1.000000000000000000e+00,5.600000000000000000e+01,5.599999999999999943e-03,1.751329740108233501e+00,2.143646642022945577e-03,1.743944279841827649e+00,2.463075437037872371e-03,9.190159384017678734e-01,1.164094626575502486e-03
1.000000000000000000e+00,5.700000000000000000e+01,5.700000000000000205e-03,1.781744907208050899e+00,2.198850978846564590e-03,1.774215851243325481e+00,2.530313903447040016e-03,9.353864075780480292e-01,1.198360273484423569e-03
1.000000000000000000e+00,5.800000000000000000e+01,5.799999999999999600e-03,1.812156491058310559e+00,2.255319585834736178e-03,1.804470233001543411e+00,2.598527055989334911e-03,9.517655894871777100e-01,1.232221153704312873e-03
1.000000000000000000e+00,6.000000000000000000e+01,6.000000000000000125e-03,1.872917967193754363e+00,2.368836594475865268e-03,1.864933966043969660e+00,2.736783351333065516e-03,9.845348654395712495e-01,1.299501363836452934e-03
1.000000000000000000e+00,6.100000000000000000e+01,6.100000000000000387e-03,1.903270513675542563e+00,2.425309565829044701e-03,1.895138714299148708e+00,2.805444558230018454e-03,1.000919282581039127e+00,1.333541183511278158e-03
1.000000000000000000e+00,6.200000000000000000e+01,6.199999999999999782e-03,1.933589036440401143e+00,2.482871916568957227e-03,1.925321886052137721e+00,2.874823749642330291e-03,1.017300074757740758e+00,1.368147425394281112e-03
1.000000000000000000e+00,6.300000000000000000e+01,6.300000000000000044e-03,1.963905968631496579e+00,2.541137228150890711e-03,1.955477688117801538e+00,2.944929336050834505e-03,1.033686563862934227e+00,1.402945878304504273e-03
1.000000000000000000e+00,6.400000000000000000e+01,6.400000000000000307e-03,1.994198531650781314e+00,2.599819235322777065e-03,1.985613584609107640e+00,3.017120070149310277e-03,1.050075153510773518e+00,1.438241283524130647e-03
1.000000000000000000e+00,6.500000000000000000e+01,6.499999999999999702e-03,2.024453868479796359e+00,2.657818139802035559e-03,2.015719809036096155e+00,3.089452477739972492e-03,1.066454014627026936e+00,1.473326008586508520e-03
1.000000000000000000e+00,6.600000000000000000e+01,6.599999999999999964e-03,2.054686281421589822e+00,2.719138358142674655e-03,2.045804730165233121e+00,3.161296178737177474e-03,1.082834184972725877e+00,1.509519176179611013e-03
1.000000000000000000e+00,6.700000000000000000e+01,6.700000000000000226e-03,2.084881631407266678e+00,2.780018269112451926e-03,2.075851417566383805e+00,3.232852626566755545e-03,1.099203568658446706e+00,1.546402681613742117e-03
1.000000000000000000e+00,6.800000000000000000e+01,6.799999999999999621e-03,2.115051889623853487e+00,2.842049439646871130e-03,2.105877357803412675e+00,3.305210544100107249e-03,1.115563495448221198e+00,1.582892600388174963e-03
1.000000000000000000e+00,7.000000000000000000e+01,7.000000000000000146e-03,2.175282683191976041e+00,2.968866283419015380e-03,2.165873286600726200e+00,3.451229758615508188e-03,1.148292752036820907e+00,1.657065830753930592e-03
1.000000000000000000e+00,7.100000000000000000e+01,7.100000000000000408e-03,2.205371413020679849e+00,3.033371707443946724e-03,2.195836928240970209e+00,3.523519056188016609e-03,1.164660943850565733e+00,1.694526280058353913e-03
1.000000000000000000e+00,7.200000000000000000e+01,7.199999999999999803e-03,2.235434718805384247e+00,3.098177230659132121e-03,2.225769902523387689e+00,3.596373837540851708e-03,1.181025011678065617e+00,1.732660384343861441e-03
1.000000000000000000e+00,7.300000000000000000e+01,7.300000000000000065e-03,2.265462082231713747e+00,3.163036393334297570e-03,2.255673382428126317e+00,3.670187407761278837e-03,1.197381248073433602e+00,1.771027261819590418e-03
1.000000000000000000e+00,7.500000000000000000e+01,7.499999999999999722e-03,2.325449449044177719e+00,3.296741960576032079e-03,2.315394749851924949e+00,3.817847259517546422e-03,1.230090847522733233e+00,1.850322082168777372e-03
1.000000000000000000e+00,7.600000000000000000e+01,7.599999999999999985e-03,2.355391913888559952e+00,3.363644248932379753e-03,2.345223586735422305e+00,3.890237082393944480e-03,1.246443720107121678e+00,1.890404150814018651e-03
1.000000000000000000e+00,7.700000000000000000e+01,7.700000000000000247e-03,2.385300001639095946e+00,3.433503783521286122e-03,2.375028687788491411e+00,3.962589918035560634e-03,1.262788969785478166e+00,1.931893844529069138e-03
1.000000000000000000e+00,7.900000000000000000e+01,7.900000000000000772e-03,2.445071484468449352e+00,3.576317792843741045e-03,2.434580047055907137e+00,4.106534339234238148e-03,1.295489678712735682e+00,2.014282527670399614e-03
